blockcollect,ID,condition,p,trialcollect
train,2,m1,1.4000578528675003e-31,1
train,2,m1,2.6392274333303283e-22,2
train,2,m1,2.0287102899182067e-18,3
train,2,m1,4.0533308082486694e-21,4
train,2,m1,9.958716907740294e-19,5
train,2,m1,2.1396945602705184e-16,6
train,2,m1,2.399062427936669e-15,7
train,2,m1,2.0404839384986773e-13,8
train,2,m1,7.661014292566215e-13,9
train,2,m1,2.2841403247986225e-12,10
train,2,m1,9.52261446779401e-12,11
train,2,m1,1.0604709520462344e-13,12
train,2,m1,1.0746379914411408e-12,13
train,2,m1,6.844204022971034e-13,14
train,2,m1,4.495349134169685e-13,15
train,2,m1,8.273878002000579e-13,16
train,2,m1,8.050296540496049e-13,17
train,2,m1,2.5058833046792683e-12,18
train,2,m1,9.396742932377133e-12,19
train,2,m1,1.9032590174022923e-12,20
train,2,m1,3.706291187583616e-13,21
train,2,m1,4.004040276965083e-14,22
train,2,m1,2.4297255288470432e-14,23
train,2,m1,3.2810126143756335e-13,24
train,2,m1,1.5985317588932194e-14,25
train,2,m1,3.156104934690096e-13,26
train,2,m1,5.284130761667701e-15,27
train,2,m1,8.32966016989364e-15,28
train,2,m1,2.7123512854124177e-13,29
train,2,m1,1.757078538927332e-14,30
train,2,m1,4.624037562355951e-15,31
train,2,m1,1.0483356804175115e-13,32
train,2,m1,4.5503988896139144e-14,33
train,2,m1,1.5925142335480175e-13,34
train,2,m1,1.8992678252598844e-13,35
train,2,m1,9.995849363075154e-14,36
train,2,m1,1.1239386056235718e-16,37
train,2,m1,1.2643934395306904e-14,38
train,2,m1,7.766983128702776e-14,39
train,2,m1,8.882800107142365e-17,40
test,2,m1,1.0299591078290288e-25,41
test,2,m1,9.83585163545473e-19,42
test,2,m1,9.31205681717394e-16,43
test,2,m1,1.5944907970982622e-19,44
test,2,m1,3.429153255839548e-14,45
test,2,m1,2.0511908669387747e-17,46
test,2,m1,5.687863086745832e-15,47
test,2,m1,1.0587636389534774e-17,48
test,2,m1,7.294639610237741e-13,49
test,2,m1,2.918788080086515e-15,50
test,2,m1,9.018873938415519e-15,51
test,2,m1,7.772291382539265e-13,52
test,2,m1,3.8439374974068644e-14,53
test,2,m1,4.2808536934463987e-16,54
test,2,m1,9.854309479962603e-14,55
test,2,m1,3.393463692013578e-14,56
test,2,m1,2.6539875982653505e-13,57
test,2,m1,2.352650843237547e-12,58
test,2,m1,3.6018884941907046e-16,59
test,2,m1,7.266352775557594e-14,60
test,2,m1,5.92379010427857e-13,61
test,2,m1,7.173814087256883e-14,62
test,2,m1,2.54757135932605e-14,63
test,2,m1,1.1401981789282978e-12,64
train,3,m1,2.1257523231230646e-30,1
train,3,m1,2.953171303138262e-25,2
train,3,m1,5.084858871079685e-23,3
train,3,m1,4.556042323387357e-17,4
train,3,m1,1.737902165634726e-17,5
train,3,m1,9.356673351228274e-18,6
train,3,m1,2.4684711197840714e-13,7
train,3,m1,1.323263634084304e-11,8
train,3,m1,2.8722196062508365e-12,9
train,3,m1,1.1452372490822812e-14,10
train,3,m1,3.534790732687143e-12,11
train,3,m1,7.650402121701927e-13,12
train,3,m1,2.1826212712183768e-12,13
train,3,m1,7.877029107108968e-13,14
train,3,m1,4.323522063368751e-13,15
train,3,m1,1.6991287933934562e-12,16
train,3,m1,9.143815912771025e-12,17
train,3,m1,7.532510856375629e-13,18
train,3,m1,4.405954767694453e-12,19
train,3,m1,9.677800011029247e-13,20
train,3,m1,4.974516892158887e-12,21
train,3,m1,4.469768739162605e-13,22
train,3,m1,3.124129080434024e-11,23
train,3,m1,1.089382815726292e-12,24
train,3,m1,1.6087742032641628e-12,25
train,3,m1,1.8600506551669227e-11,26
train,3,m1,1.0805169693012262e-12,27
train,3,m1,2.9655585712801136e-13,28
train,3,m1,5.988033961908112e-13,29
train,3,m1,3.568066150969485e-15,30
train,3,m1,6.163540272781376e-14,31
train,3,m1,2.1132503299353678e-12,32
train,3,m1,4.325409388300505e-12,33
train,3,m1,9.91570107272688e-13,34
train,3,m1,2.217426936512723e-11,35
train,3,m1,3.502093406937412e-11,36
train,3,m1,3.8137383333823605e-13,37
train,3,m1,1.2119115390049617e-12,38
train,3,m1,4.443399654837678e-14,39
train,3,m1,3.0523374355394955e-14,40
test,3,m1,3.660751313622625e-23,41
test,3,m1,4.3098659310510024e-20,42
test,3,m1,2.5405479394749407e-18,43
test,3,m1,2.2049192404954272e-17,44
test,3,m1,2.3845337350135592e-17,45
test,3,m1,4.933661456499696e-16,46
test,3,m1,4.867782410235809e-16,47
test,3,m1,3.569785627852411e-15,48
test,3,m1,1.4944178571485098e-14,49
test,3,m1,8.575966392466435e-17,50
test,3,m1,6.531969789277253e-14,51
test,3,m1,4.59937831567901e-16,52
test,3,m1,1.1762486075889188e-15,53
test,3,m1,2.491560235648019e-18,54
test,3,m1,6.584498495149581e-16,55
test,3,m1,5.060399290628213e-15,56
test,3,m1,1.7938135108168038e-14,57
test,3,m1,1.0037271307074963e-13,58
test,3,m1,6.253349482112855e-15,59
test,3,m1,5.434138382331977e-13,60
test,3,m1,2.267086732644745e-14,61
test,3,m1,1.878703195142277e-15,62
test,3,m1,9.019201740166106e-15,63
test,3,m1,4.435273728961488e-15,64
train,4,m1,1.690202552087073e-33,1
train,4,m1,9.884147570114468e-23,2
train,4,m1,9.028766757921599e-23,3
train,4,m1,1.224919682600582e-19,4
train,4,m1,2.3868579302966045e-20,5
train,4,m1,1.1087318826785194e-17,6
train,4,m1,2.0417015568306848e-15,7
train,4,m1,4.171185373150069e-15,8
train,4,m1,8.09855146540004e-15,9
train,4,m1,9.314090297640742e-13,10
train,4,m1,9.609309875591165e-13,11
train,4,m1,5.891807874913724e-12,12
train,4,m1,8.334436439605408e-12,13
train,4,m1,1.7492844195735047e-12,14
train,4,m1,8.662658264324552e-13,15
train,4,m1,1.73870520845526e-13,16
train,4,m1,3.5027037693924346e-12,17
train,4,m1,7.298577974629294e-13,18
train,4,m1,5.87788238221032e-12,19
train,4,m1,7.4135671560005e-12,20
train,4,m1,6.152133381724656e-13,21
train,4,m1,2.3776401854302964e-13,22
train,4,m1,3.956499624452325e-12,23
train,4,m1,2.0389157376343725e-11,24
train,4,m1,3.2253958618527756e-12,25
train,4,m1,6.626306274515326e-12,26
train,4,m1,2.2581182035389176e-17,27
train,4,m1,9.143351874241201e-12,28
train,4,m1,3.244454672372138e-13,29
train,4,m1,1.6735087436919177e-14,30
train,4,m1,2.45171547993972e-12,31
train,4,m1,5.437690662329908e-12,32
train,4,m1,1.532497761504159e-12,33
train,4,m1,7.484736571847228e-13,34
train,4,m1,8.871175278743482e-14,35
train,4,m1,7.68942689469837e-13,36
train,4,m1,1.5377475226334425e-13,37
train,4,m1,9.13996309193088e-13,38
train,4,m1,6.326255708524742e-13,39
train,4,m1,1.8670052483182875e-12,40
test,4,m1,1.2731191068812154e-23,41
test,4,m1,1.1648688258216757e-18,42
test,4,m1,6.693581499135746e-18,43
test,4,m1,3.770076646599274e-18,44
test,4,m1,5.4521542124901437e-17,45
test,4,m1,2.2618858127057496e-16,46
test,4,m1,1.713789983127703e-16,47
test,4,m1,2.5512238500979053e-15,48
test,4,m1,1.267796563802874e-15,49
test,4,m1,3.0126949383552787e-14,50
test,4,m1,3.4563384818201435e-15,51
test,4,m1,9.535464086352866e-15,52
test,4,m1,2.6957818810081132e-15,53
test,4,m1,6.030908465768509e-14,54
test,4,m1,1.3636091191480178e-15,55
test,4,m1,4.363373760750281e-15,56
test,4,m1,1.404327229590635e-13,57
test,4,m1,2.539066470909259e-14,58
test,4,m1,1.98223073832925e-14,59
test,4,m1,6.420008296682822e-14,60
test,4,m1,2.6382509797141275e-15,61
test,4,m1,5.929639239473858e-14,62
test,4,m1,1.6648747039264941e-15,63
test,4,m1,3.777354016192393e-15,64
train,7,m1,1.2564969612408408e-31,1
train,7,m1,2.990482747625792e-24,2
train,7,m1,4.349401687587525e-17,3
train,7,m1,1.1884396534256073e-22,4
train,7,m1,7.176589913941658e-20,5
train,7,m1,2.0965883587530325e-17,6
train,7,m1,1.728946499518296e-15,7
train,7,m1,2.1898596217623245e-12,8
train,7,m1,4.089516743364767e-14,9
train,7,m1,1.1043275059056772e-14,10
train,7,m1,1.1515303684553335e-12,11
train,7,m1,6.907660749823352e-14,12
train,7,m1,6.138822956913703e-12,13
train,7,m1,1.3073034679528944e-13,14
train,7,m1,7.786455941821702e-13,15
train,7,m1,2.530263054200538e-13,16
train,7,m1,4.924688180038897e-14,17
train,7,m1,2.6783834007550363e-14,18
train,7,m1,2.3356978243876947e-13,19
train,7,m1,6.022739273449373e-13,20
train,7,m1,1.1333466717194929e-12,21
train,7,m1,1.123915735733996e-15,22
train,7,m1,5.666592818890856e-14,23
train,7,m1,5.74058690665756e-14,24
train,7,m1,1.7514752126933375e-13,25
train,7,m1,2.1445127642541646e-14,26
train,7,m1,2.620902355820326e-13,27
train,7,m1,9.31597531864288e-14,28
train,7,m1,8.543268496070608e-14,29
train,7,m1,1.039922254618365e-14,30
train,7,m1,6.851587168715118e-14,31
train,7,m1,3.230953644819262e-14,32
