blockcollect,ID,condition,p,trialcollect
train,2,m1,2.0537655060521366e-33,1
train,2,m1,3.0680792477830832e-24,2
train,2,m1,5.70182341309086e-21,3
train,2,m1,1.1471354952052166e-19,4
train,2,m1,6.121893920140774e-20,5
train,2,m1,1.757556969605721e-18,6
train,2,m1,1.7178281051702584e-18,7
train,2,m1,1.0724567868136802e-17,8
train,2,m1,4.581128461434824e-16,9
train,2,m1,2.884796356745624e-17,10
train,2,m1,5.583167379245477e-16,11
train,2,m1,1.8126634111417586e-17,12
train,2,m1,2.2723990797679516e-16,13
train,2,m1,6.22401397829236e-16,14
train,2,m1,2.091599632478725e-15,15
train,2,m1,2.4837364470858597e-16,16
train,2,m1,4.328694961340269e-15,17
train,2,m1,3.8844179219341525e-16,18
train,2,m1,2.0937735425378533e-15,19
train,2,m1,1.0237042338912951e-16,20
train,2,m1,1.1012432842441789e-16,21
train,2,m1,3.5880977390182205e-16,22
train,2,m1,6.433512966477371e-15,23
train,2,m1,8.820604701286969e-15,24
train,2,m1,4.530008434881251e-16,25
train,2,m1,3.060910425405246e-14,26
train,2,m1,2.5976533681785867e-14,27
train,2,m1,4.417129436198354e-15,28
train,2,m1,3.4223296854714097e-15,29
train,2,m1,1.744984353690507e-16,30
train,2,m1,5.81062611289024e-15,31
train,2,m1,2.047279692304828e-16,32
train,2,m1,1.4831619751256263e-14,33
train,2,m1,1.4970827922071613e-14,34
train,2,m1,4.32727855284587e-14,35
train,2,m1,6.2889248658975355e-15,36
train,2,m1,1.998014180861797e-14,37
train,2,m1,3.9942729706437044e-14,38
train,2,m1,5.228413040276431e-16,39
train,2,m1,8.094133341547162e-15,40
test,2,m1,6.32874939459311e-26,41
test,2,m1,5.418677954606181e-20,42
test,2,m1,6.5317287133451974e-21,43
test,2,m1,5.182957006305284e-21,44
test,2,m1,1.1096041446344566e-17,45
test,2,m1,2.1807999945277178e-14,46
test,2,m1,5.4194944723436505e-20,47
test,2,m1,2.888332202312528e-19,48
test,2,m1,1.0542473155269991e-16,49
test,2,m1,4.523345197262116e-17,50
test,2,m1,2.3938721488490737e-14,51
test,2,m1,2.592017433293705e-16,52
test,2,m1,8.636989981178865e-15,53
test,2,m1,1.4033160120120497e-16,54
test,2,m1,6.090401148307894e-17,55
test,2,m1,1.2884361309253248e-14,56
test,2,m1,2.254295868102759e-16,57
test,2,m1,6.90512534727816e-16,58
test,2,m1,8.594512972939956e-16,59
test,2,m1,1.4887162412113158e-13,60
test,2,m1,2.852147074747013e-16,61
test,2,m1,5.442827254775241e-17,62
test,2,m1,1.268911191398825e-13,63
test,2,m1,5.345660399626556e-16,64
train,3,m1,1.5806794952880146e-31,1
train,3,m1,5.284806001585809e-25,2
train,3,m1,1.750396646836682e-22,3
train,3,m1,1.0715271805617778e-18,4
train,3,m1,2.008118714243253e-19,5
train,3,m1,2.7842620245078175e-18,6
train,3,m1,3.4181672340468846e-19,7
train,3,m1,2.0291881273426602e-16,8
train,3,m1,5.912513641472651e-17,9
train,3,m1,2.5637381133839873e-17,10
train,3,m1,3.314465068896699e-17,11
train,3,m1,2.7491620627802017e-17,12
train,3,m1,1.1637975409016358e-15,13
train,3,m1,2.435562672438078e-17,14
train,3,m1,7.947491609586708e-15,15
train,3,m1,1.1839142292917906e-16,16
train,3,m1,1.6727299816002121e-15,17
train,3,m1,7.992943058723195e-14,18
train,3,m1,2.054491330817751e-15,19
train,3,m1,2.1304831881422022e-14,20
train,3,m1,3.9023877259101525e-16,21
train,3,m1,2.3814335447957717e-18,22
train,3,m1,1.96945450363445e-17,23
train,3,m1,2.5926545185370707e-14,24
train,3,m1,2.365734963714883e-16,25
train,3,m1,3.00003664505745e-16,26
train,3,m1,6.628360508136369e-16,27
train,3,m1,1.164700478023409e-16,28
train,3,m1,2.81825666184057e-14,29
train,3,m1,3.102270663054847e-15,30
train,3,m1,1.3657328001533738e-14,31
train,3,m1,1.7886570283438038e-15,32
train,3,m1,3.5916902048002686e-13,33
train,3,m1,4.0441654241105574e-18,34
train,3,m1,1.1956257568067818e-15,35
train,3,m1,8.393378223350845e-14,36
train,3,m1,1.7124195738162963e-14,37
train,3,m1,5.714380194313457e-16,38
