"","blockcollect","ID","condition","p","trialcollect"
"1","train",2,"m1",7.25619220674366e-27,1
"2","train",2,"m1",1.41064257172009e-13,2
"3","train",2,"m1",9.16694148145325e-07,3
"4","train",2,"m1",5.81521995002277e-08,4
"5","train",2,"m1",1.5249733564815e-07,5
"6","train",2,"m1",0.000306340720271692,6
"7","train",2,"m1",0.00922961719334126,7
"8","train",2,"m1",0.0142231024801731,8
"9","train",2,"m1",0.0119028454646468,9
"10","train",2,"m1",3.87163481718744e-06,10
"11","train",2,"m1",0.0022210069000721,11
"12","train",2,"m1",0.00784709211438894,12
"13","train",2,"m1",0.050729364156723,13
"14","train",2,"m1",0.00269795674830675,14
"15","train",2,"m1",0.112750254571438,15
"16","train",2,"m1",0.0489818155765533,16
"17","train",2,"m1",0.0247180908918381,17
"18","train",2,"m1",3.20120816468261e-05,18
"19","train",2,"m1",0.0170886814594269,19
"20","train",2,"m1",6.3316743762698e-05,20
"21","train",2,"m1",0.0526542738080025,21
"22","train",2,"m1",0.0187348369508982,22
"23","train",2,"m1",0.19821372628212,23
"24","train",2,"m1",0.00570214865729213,24
"25","train",2,"m1",0.0915742740035057,25
"26","train",2,"m1",0.102843590080738,26
"27","train",2,"m1",0.00584084866568446,27
"28","train",2,"m1",0.0415723472833633,28
"29","train",2,"m1",0.0385945066809654,29
"30","train",2,"m1",0.000102888341643848,30
"31","train",2,"m1",0.140468433499336,31
"32","train",2,"m1",0.00045776242041029,32
"33","train",2,"m1",0.347019493579865,33
"34","train",2,"m1",0.182546228170395,34
"35","train",2,"m1",0.0250492244958878,35
"36","train",2,"m1",0.0395787060260773,36
"37","train",2,"m1",0.0494110248982906,37
"38","train",2,"m1",0.107296861708164,38
"39","train",2,"m1",0.000989256892353296,39
"40","train",2,"m1",0.0115315653383732,40
"41","test",2,"m1",5.4037336443707e-19,41
"42","test",2,"m1",2.34730568315911e-10,42
"43","test",2,"m1",2.89889206389615e-11,43
"44","test",2,"m1",2.91988135059373e-12,44
"45","test",2,"m1",0.00618404848501086,45
"46","test",2,"m1",0.0250761415809393,46
"47","test",2,"m1",1.4445699036969e-07,47
"48","test",2,"m1",1.59163946023e-07,48
"49","test",2,"m1",0.0756280571222305,49
"50","test",2,"m1",0.000727901177015156,50
"51","test",2,"m1",0.0745657160878181,51
"52","test",2,"m1",0.521968960762024,52
"53","test",2,"m1",0.000366206571925431,53
"54","test",2,"m1",6.59065244690282e-06,54
"55","test",2,"m1",1.59714818437351e-05,55
"56","test",2,"m1",0.03738709166646,56
"57","test",2,"m1",0.00259728170931339,57
"58","test",2,"m1",0.129656627774239,58
"59","test",2,"m1",0.00299412268213928,59
"60","test",2,"m1",0.0725158601999283,60
"61","test",2,"m1",0.0220427326858044,61
"62","test",2,"m1",2.99832972814329e-05,62
"63","test",2,"m1",0.128940284252167,63
"64","test",2,"m1",0.236416712403297,64
"65","train",3,"m1",6.68785941368515e-24,1
