blockcollect,ID,condition,correctcollect,p,trialcollect
train,1,ind,0.5,2.2069942057864594e-09,1
train,1,ind,0.75,2.2069942057864615e-09,2
train,1,ind,0.6666666666666666,2.206994205786464e-09,3
train,1,ind,0.16666666666666666,2.2069942057864573e-09,4
train,1,ind,0.4166666666666667,2.2069942057864648e-09,5
train,1,ind,0.4166666666666667,2.206994205786465e-09,6
train,1,ind,0.16666666666666666,4.758525688446107e-12,7
train,1,ind,0.25,3.019186757445727e-08,8
train,1,ind,0.16666666666666666,5.228106460546983e-08,9
train,1,ind,1.0,8.368152084609936e-08,10
train,1,ind,0.08333333333333333,1.259065201536674e-07,11
train,1,ind,0.25,1.8024281633728582e-07,12
train,1,ind,1.0,2.4772132559485354e-07,13
train,1,ind,0.4166666666666667,9.205555765177904e-08,14
train,1,ind,0.3333333333333333,8.246017593291274e-05,15
train,1,ind,0.3333333333333333,0.00011541335589007024,16
train,1,ind,0.3333333333333333,0.00015526763763984623,17
train,1,ind,1.0,0.0002023511581152948,18
train,1,ind,0.4166666666666667,0.0002569261346150709,19
train,1,ind,1.0,0.00031919525393601673,20
train,1,ind,0.4166666666666667,0.0003101747100785169,21
train,1,ind,1.0,0.003019448015488614,22
train,1,ind,0.5,0.0036022515268397206,23
train,1,ind,0.08333333333333333,0.004225539539921989,24
train,1,ind,0.4166666666666667,0.004887976192910815,25
train,1,ind,0.16666666666666666,0.005588253659595152,26
train,1,ind,0.3333333333333333,0.006325091752688701,27
train,1,ind,0.75,0.006596790838387351,28
train,1,ind,0.16666666666666666,0.041039298233458775,29
train,1,ind,0.3333333333333333,0.04616393315117952,30
train,1,ind,0.16666666666666666,0.05127467492329605,31
train,1,ind,0.16666666666666666,0.05637141644114312,32
train,1,ind,0.8333333333333334,0.06145405207919414,33
train,1,ind,0.5,0.06652247769964077,34
train,1,ind,0.5,0.07157659065666766,35
train,1,ind,1.0,0.07661628980042313,36
train,1,ind,0.3333333333333333,0.08164147548068824,37
train,1,ind,0.8333333333333334,0.08665204955024448,38
train,1,ind,0.08333333333333333,0.09164791536794256,39
train,1,ind,1.0,0.0966289778014735,40
test,1,m1,0.3333333333333333,4.117264094388734e-14,41
test,1,m1,0.25,1.2028838894778552e-06,42
test,1,m1,0.25,9.650684616976935e-11,43
test,1,m1,0.6666666666666666,1.9903345376995547e-13,44
test,1,m1,0.3333333333333333,1.694273065645805e-06,45
test,1,m1,0.75,4.218675412324937e-13,46
test,1,m1,0.75,1.1661063471106313e-10,47
test,1,m1,0.5,2.938251611526687e-12,48
test,1,m1,0.4166666666666667,4.787814850475842e-12,49
test,1,m1,0.25,4.384995058518611e-12,50
test,1,m1,0.4166666666666667,6.174181512663922e-09,51
test,1,m1,0.25,5.0356979765018494e-06,52
test,1,m1,0.5,8.516912821125048e-09,53
test,1,m1,0.5833333333333334,4.884939518223257e-10,54
test,1,m1,0.16666666666666666,1.1565640503275132e-07,55
test,1,m1,0.25,5.823906202218938e-06,56
test,1,m1,0.75,8.46887501471088e-10,57
test,1,m1,0.16666666666666666,2.6834693849020755e-08,58
test,1,m1,0.4166666666666667,7.749597347158828e-06,59
test,1,m1,0.4166666666666667,1.8366113262297634e-07,60
test,1,m1,0.08333333333333333,3.6463448184632606e-08,61
test,1,m1,0.8333333333333334,1.9202030038886606e-09,62
test,1,m1,0.4166666666666667,2.702861489003544e-09,63
test,1,m1,0.8333333333333334,9.043984781080936e-06,64
train,2,m1,0.5833333333333334,2.206982875564479e-09,1
train,2,m1,0.5,2.2074081153558274e-09,2
train,2,m1,0.3333333333333333,1.5194125012602898e-10,3
train,2,m1,0.3333333333333333,2.839333815613361e-10,4
train,2,m1,0.4166666666666667,4.154810953881671e-06,5
train,2,m1,0.25,5.609454703096398e-06,6
train,2,m1,0.3333333333333333,7.204888091784362e-06,7
train,2,m1,0.25,8.909094204680678e-06,8
train,2,m1,0.3333333333333333,1.0693742026824284e-05,9
train,2,m1,0.6666666666666666,5.912651668109355e-06,10
train,2,m1,0.25,5.963546488259012e-07,11
train,2,m1,0.25,1.4646689425256916e-05,12
train,2,m1,0.16666666666666666,9.363824081780099e-05,13
train,2,m1,0.4166666666666667,2.325343764105745e-05,14
train,2,m1,0.9166666666666666,2.0993330510058812e-05,15
train,2,m1,0.75,3.375646327156139e-05,16
train,2,m1,0.3333333333333333,4.181612242847002e-05,17
train,2,m1,0.4166666666666667,1.591517648240241e-05,18
