blockcollect,ID,condition,correctcollect,p,trialcollect,recall_likelihood
train,1,ind,0.5,0.16635129535228171,1,2.147452842913328e-09
train,1,ind,0.5833333333333334,0.0020428390148243512,2,2.147452842913329e-09
train,1,ind,0.16666666666666666,0.0011991534257642115,3,2.1474528429133242e-09
train,1,ind,0.5,0.0053803958115085995,4,2.147452842913324e-09
train,1,ind,0.16666666666666666,0.00020875770116276466,5,2.147452842913326e-09
train,1,ind,0.75,0.009578425681202866,6,2.147452842913326e-09
train,1,ind,0.6666666666666666,0.00025961860356008633,7,2.1474528429133267e-09
train,1,ind,0.5833333333333334,0.008895842430730976,8,2.147452842913322e-09
train,1,ind,0.4166666666666667,0.008830065897894009,9,2.1474528429133246e-09
train,1,ind,0.4166666666666667,0.001759273285835847,10,2.1474528429133255e-09
train,1,ind,0.3333333333333333,0.0015573659111123466,11,2.1474528429133255e-09
train,1,ind,0.25,0.00035271921616036975,12,2.147452842913325e-09
train,1,ind,0.5833333333333334,0.005694398920855127,13,2.147452842913325e-09
train,1,ind,0.4166666666666667,0.00874358483803783,14,2.1474528429133263e-09
train,1,ind,0.5,0.004452739471473918,15,2.1474528429133263e-09
train,1,ind,0.3333333333333333,0.00026532309471503034,16,2.1474528429133255e-09
train,1,ind,0.6666666666666666,0.0021857479286727316,17,2.1474528429133242e-09
train,1,ind,0.6666666666666666,0.0020232785105208377,18,2.147452842913322e-09
train,1,ind,0.5,0.005970609352299652,19,2.1474528429133234e-09
train,1,ind,0.75,0.0013758690226474283,20,2.147452842913329e-09
train,1,ind,0.5,0.009174953256601876,21,2.147452842913326e-09
train,1,ind,0.4166666666666667,0.006872331434962874,22,2.147452842913328e-09
train,1,ind,0.75,0.0015565529803475784,23,2.1474528429133217e-09
train,1,ind,0.5,0.009174843680896194,24,2.147452842913324e-09
train,1,ind,0.25,1.2439947527384313e-06,25,2.147452842913328e-09
train,1,ind,0.4166666666666667,0.009219425531366008,26,2.147452842913325e-09
train,1,ind,0.4166666666666667,0.005034763592250519,27,2.147452842913326e-09
train,1,ind,0.5833333333333334,0.008737078044940507,28,2.147452842913324e-09
train,1,ind,0.3333333333333333,0.0015565516324461566,29,2.1474528429133284e-09
train,1,ind,0.5,0.02967649716263451,30,2.1474528429133205e-09
train,1,ind,0.3333333333333333,0.0006157869451897377,31,2.14745284291333e-09
train,1,ind,0.4166666666666667,0.0010128856608793487,32,2.1474528429133288e-09
train,1,ind,0.4166666666666667,0.005034759077455372,33,2.147452842913325e-09
train,1,ind,0.25,0.0003531320226120224,34,2.1474528429133246e-09
train,1,ind,0.5,0.008737074277094267,35,2.1474528429133226e-09
train,1,ind,0.3333333333333333,0.0006157869858877193,36,2.1474528429133242e-09
train,1,ind,0.4166666666666667,0.0010776170311435867,37,2.1474528429133255e-09
train,1,ind,0.6666666666666666,0.008737074202162128,38,2.1474528429133288e-09
train,1,ind,0.5,0.009174815693993492,39,2.1474528429133296e-09
train,1,ind,0.4166666666666667,0.008737074189640691,40,2.147452842913326e-09
test,1,m1,0.3333333333333333,0.000151513306947168,41,2.1471862500670425e-09
test,1,m1,0.3333333333333333,1.3358827905383624e-05,42,2.1884540096975547e-09
test,1,m1,0.3333333333333333,0.0006062487688357728,43,2.2009717905704817e-09
test,1,m1,0.25,0.0008828690799082885,44,2.1985969449938997e-09
test,1,m1,0.08333333333333333,1.7905676355202357e-07,45,2.1947015526053596e-09
test,1,m1,0.25,0.0010449828518486503,46,2.1915523890131107e-09
test,1,m1,0.25,1.2956000824715109e-06,47,2.1787578742863257e-09
test,1,m1,0.25,5.712270226577982e-06,48,2.1732092058576546e-09
test,1,m1,0.16666666666666666,9.741297879486297e-05,49,2.2008940790522225e-09
test,1,m1,0.4166666666666667,6.908865151409415e-05,50,2.188716385999395e-09
test,1,m1,0.3333333333333333,0.006226954521807458,51,2.1849517549357223e-09
test,1,m1,0.16666666666666666,4.2339762951677776e-05,52,2.187620758726144e-09
test,1,m1,0.3333333333333333,0.009008962512822535,53,2.1745146284364205e-09
test,1,m1,0.6666666666666666,0.0001642280958809169,54,2.19635295434553e-09
test,1,m1,0.16666666666666666,3.346910768754409e-05,55,2.1851826501409802e-09
test,1,m1,0.3333333333333333,2.7743647248069408e-06,56,2.184113505281711e-09
test,1,m1,0.16666666666666666,3.691346341777426e-05,57,2.2023101849825824e-09
test,1,m1,0.3333333333333333,0.003855594092754038,58,2.188432778437041e-09
test,1,m1,0.3333333333333333,0.0007921779436423351,59,2.181797165071748e-09
test,1,m1,0.5,0.0015201998236115033,60,2.185144108554995e-09
test,1,m1,0.3333333333333333,0.001799874434935155,61,2.18484984846307e-09
test,1,m1,0.25,0.0026159269579463223,62,2.1888322003025616e-09
test,1,m1,0.3333333333333333,0.0008086205618036458,63,2.1926091427810307e-09
test,1,m1,0.3333333333333333,0.00012023297483158787,64,2.2006488477285243e-09
train,2,m1,0.3333333333333333,0.01773719645865171,1,2.1467401628862295e-09
train,2,m1,0.25,0.0003047711563655282,2,2.187619605281223e-09
train,2,m1,0.4166666666666667,6.690979288538637e-05,3,2.1874779380524507e-09
train,2,m1,0.5,0.0005530602033706185,4,2.1879428088233464e-09
train,2,m1,0.3333333333333333,0.0004089224131270937,5,2.2016026752383272e-09
train,2,m1,0.5,0.02772678230076696,6,2.1943159402543556e-09
train,2,m1,0.5,2.97116146676922e-05,7,2.2024075034064415e-09
train,2,m1,0.4166666666666667,0.00035642647230972873,8,2.1952802412010775e-09
train,2,m1,0.5,0.024104429090920247,9,2.2020163589359824e-09
train,2,m1,0.5,0.006816396656655248,10,2.1942031440538034e-09
train,2,m1,0.4166666666666667,0.00013576723603705873,11,2.2027192308443253e-09
train,2,m1,0.4166666666666667,7.682303658300353e-06,12,2.192617030238109e-09
train,2,m1,0.5,0.0009948483358634904,13,2.1872004071285683e-09
train,2,m1,0.25,1.1658212519147074e-05,14,2.2019311213787476e-09
train,2,m1,0.3333333333333333,0.00015250797898556763,15,2.195412998426593e-09
train,2,m1,0.25,0.006375159892464426,16,2.1999381867829517e-09
train,2,m1,0.5833333333333334,0.0007698841944190372,17,2.199420215567318e-09
train,2,m1,0.3333333333333333,7.674390729988669e-05,18,2.1940201447128053e-09
train,2,m1,0.4166666666666667,0.0009024227212242388,19,2.2007726063458394e-09
train,2,m1,0.4166666666666667,0.004000816155677897,20,2.193567849420191e-09
train,2,m1,0.4166666666666667,0.006017516858268644,21,2.1812692644697257e-09
train,2,m1,0.25,9.288422837784423e-07,22,2.1820179812186194e-09
train,2,m1,0.4166666666666667,2.061474128739736e-05,23,2.2031183569660834e-09
train,2,m1,0.3333333333333333,1.1709161168009426e-06,24,2.189729509236431e-09
train,2,m1,0.5,1.9033396420373076e-05,25,2.182603151340976e-09
train,2,m1,0.4166666666666667,0.0053595821111835674,26,2.2032920433672882e-09
train,2,m1,0.5,0.0008952164484342886,27,2.198526469934664e-09
train,2,m1,0.5,0.0008900221137283611,28,2.2017334674028398e-09
train,2,m1,0.25,7.43002197485041e-06,29,2.1900298643439158e-09
train,2,m1,0.5,0.00043078589091390487,30,2.2032440030977893e-09
