blockcollect,ID,condition,correctcollect,p,trialcollect,recall_likelihood
train,1,ind,0.5,0.013873973698400374,1,1.8328065120452932e-09
train,1,ind,0.5,0.1864892648490369,2,1.832806512045291e-09
train,1,ind,0.5,0.022009871997912094,3,1.8328065120452876e-09
train,1,ind,0.4166666666666667,0.012803996911516404,4,1.83280651204529e-09
train,1,ind,0.5833333333333334,0.021893071182058816,5,1.8328065120452932e-09
train,1,ind,0.5,0.02188698378074309,6,1.83280651204529e-09
train,1,ind,0.5,0.16914293014725476,7,1.8328065120452913e-09
train,1,ind,0.5,0.01074679458934167,8,1.832806512045291e-09
train,1,ind,0.5,0.0015070292244310462,9,1.8328065120452903e-09
train,1,ind,0.4166666666666667,0.021884916221901224,10,1.8328065120452896e-09
train,1,ind,0.4166666666666667,0.002130056058504841,11,1.8328065120452894e-09
train,1,ind,0.4166666666666667,0.021884908113060004,12,1.8328065120452909e-09
train,1,ind,0.4166666666666667,0.0012991670826800947,13,1.8328065120452903e-09
train,1,ind,0.5,0.16912555693633294,14,1.8328065120452905e-09
train,1,ind,0.3333333333333333,0.0009649635595095005,15,1.8328065120452892e-09
train,1,ind,0.5,0.16912555582218256,16,1.8328065120452903e-09
train,1,ind,0.5,0.1691255557647857,17,1.8328065120452888e-09
train,1,ind,0.5833333333333334,0.017461059935230526,18,1.83280651204529e-09
train,1,ind,0.3333333333333333,0.0100263203956209,19,1.83280651204529e-09
train,1,ind,0.3333333333333333,0.002835751365683858,20,1.8328065120452903e-09
train,1,ind,0.5,0.16912555574530538,21,1.8328065120452894e-09
train,1,ind,0.5833333333333334,0.017461059935043686,22,1.8328065120452907e-09
train,1,ind,0.5,0.16912555574522906,23,1.832806512045294e-09
train,1,ind,0.5,0.010746716320728808,24,1.8328065120452913e-09
train,1,ind,0.5,0.16912555574522425,25,1.8328065120452884e-09
train,1,ind,0.5,0.013469451113041422,26,1.8328065120452903e-09
train,1,ind,0.6666666666666666,0.0022594674162113035,27,1.832806512045288e-09
train,1,ind,0.5833333333333334,0.001390628945108954,28,1.832806512045288e-09
train,1,ind,0.4166666666666667,0.001655325893368773,29,1.832806512045288e-09
train,1,ind,0.5,0.16912555574522403,30,1.832806512045288e-09
train,1,ind,0.4166666666666667,0.0010459771400457324,31,1.832806512045288e-09
train,1,ind,0.4166666666666667,0.0021300565055623684,32,1.832806512045288e-09
train,1,ind,0.4166666666666667,0.012774975473778842,33,1.832806512045288e-09
train,1,ind,0.3333333333333333,0.001745313033488513,34,1.832806512045288e-09
train,1,ind,0.4166666666666667,0.013487698589721313,35,1.832806512045288e-09
train,1,ind,0.5833333333333334,0.021884907552951673,36,1.832806512045288e-09
train,1,ind,0.6666666666666666,0.0013906289451089543,37,1.832806512045288e-09
train,1,ind,0.4166666666666667,0.002130056505562369,38,1.832806512045288e-09
train,1,ind,0.5,0.013469451113041422,39,1.832806512045288e-09
train,1,ind,0.5833333333333334,0.021884907552951673,40,1.832806512045288e-09
test,1,m1,0.5,2.4679566905859725e-05,41,1.832656277652361e-09
test,1,m1,0.3333333333333333,0.030476888780414903,42,2.0391043255973355e-09
test,1,m1,0.3333333333333333,0.0005322775728642451,43,1.9633793897429924e-09
test,1,m1,0.25,0.0018815443187453177,44,2.0723773081716302e-09
test,1,m1,0.3333333333333333,9.250352437805388e-05,45,2.0229250215736614e-09
test,1,m1,0.3333333333333333,0.0016517710538640877,46,1.9905222192934854e-09
test,1,m1,0.3333333333333333,0.031375497951816905,47,1.9078680800394715e-09
test,1,m1,0.4166666666666667,0.0013572601178567052,48,1.892956452906803e-09
test,1,m1,0.3333333333333333,1.690898140308664e-06,49,2.0351670918922743e-09
test,1,m1,0.3333333333333333,0.0021483646131564022,50,2.007855463084233e-09
test,1,m1,0.3333333333333333,0.0023941492072762052,51,1.9465858416032812e-09
test,1,m1,0.16666666666666666,1.3452656308656697e-05,52,1.9373334038207566e-09
test,1,m1,0.3333333333333333,0.006002026395817302,53,1.891818205728664e-09
test,1,m1,0.3333333333333333,0.030207087342698904,54,2.0496324502216088e-09
test,1,m1,0.3333333333333333,0.0001993229984239172,55,1.9795108674430287e-09
test,1,m1,0.3333333333333333,0.031562958671763834,56,1.939601524889291e-09
test,1,m1,0.25,0.0017219405316700833,57,2.050306715171674e-09
test,1,m1,0.3333333333333333,0.03156295867597089,58,1.9155783904914207e-09
test,1,m1,0.25,0.0017117686138430751,59,1.919077824431845e-09
test,1,m1,0.3333333333333333,0.0026749197789156616,60,1.937843017368701e-09
test,1,m1,0.3333333333333333,0.030476619078279827,61,1.9843974979149824e-09
test,1,m1,0.3333333333333333,0.0008972322922198838,62,1.9476927825271744e-09
test,1,m1,0.4166666666666667,0.0022325077495344704,63,1.935222182616558e-09
test,1,m1,0.4166666666666667,0.002261560700066393,64,2.075753198317598e-09
train,2,m1,0.5,0.001653810173232257,1,1.832304317561514e-09
train,2,m1,0.5,0.001289395240311943,2,2.0110087360596948e-09
train,2,m1,0.16666666666666666,0.011773501013629737,3,1.945854469859724e-09
train,2,m1,0.5,0.010608973720124886,4,2.0124390578528646e-09
train,2,m1,0.5,0.0008951879627698157,5,2.0472949816087816e-09
train,2,m1,0.16666666666666666,0.000532100968959608,6,1.952366079353622e-09
train,2,m1,0.5,0.15722187691655787,7,2.074729158379711e-09
train,2,m1,0.4166666666666667,0.0005319164300632372,8,2.0232007071008844e-09
train,2,m1,0.5,0.15721202335021522,9,2.061338062562021e-09
train,2,m1,0.4166666666666667,0.011742921987956617,10,1.995964758578361e-09
train,2,m1,0.4166666666666667,0.011328376896095619,11,2.0672672701671576e-09
